Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5142","Nourriture","S2520","Céréales, Autres","2013","2013","Milliers de tonnes","7","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2511","Blé et produits","2013","2013","Milliers de tonnes","2509","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2511","Blé et produits","2013","2013","Milliers de tonnes","1698","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2807","Riz et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2807","Riz et produits","2013","2013","Milliers de tonnes","370","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2513","Orge et produits","2013","2013","Milliers de tonnes","1108","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2513","Orge et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2514","Maïs et produits","2013","2013","Milliers de tonnes","248","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2514","Maïs et produits","2013","2013","Milliers de tonnes","104","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2515","Seigle et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2515","Seigle et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2516","Avoine","2013","2013","Milliers de tonnes","922","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2516","Avoine","2013","2013","Milliers de tonnes","24","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2517","Millet et produits","2013","2013","Milliers de tonnes","31","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2518","Sorgho et produits","2013","2013","Milliers de tonnes","1289","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2518","Sorgho et produits","2013","2013","Milliers de tonnes","17","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5521","Aliments pour animaux","S2520","Céréales, Autres","2013","2013","Milliers de tonnes","162","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2520","Céréales, Autres","2013","2013","Milliers de tonnes","19","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","5521","Aliments pour animaux","S2511","Blé et produits","2013","2013","Milliers de tonnes","467","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","5142","Nourriture","S2511","Blé et produits","2013","2013","Milliers de tonnes","682","I","Valeur imputée"
